"","x"
"115",-0.287038790064142
"116",-0.28645600324954
"117",-0.289307208579052
"118",-0.295277068844425
"119",-0.298438054439375
"120",-0.301354838527706
"121",-0.312527147143521
"122",-0.326313859226009
"123",-0.331454555266775
"124",-0.342877984079311
"125",-0.354538817163181
"126",-0.367020594390422
"127",-0.37556318245697
"128",-0.37953983913989
"129",-0.380177232650405
"130",-0.370275480195213
"131",-0.364881302048467
"132",-0.360724329172857
"133",-0.356578431998635
"134",-0.357136238384025
"135",-0.352741921315611
"136",-0.343434857601499
"137",-0.331958659505861
"138",-0.315991284726333
"139",-0.30304343905984
"140",-0.282982841339198
"141",-0.263078110864321
"142",-0.253451573178554
"143",-0.240491133567641
"144",-0.223784743366167
"145",-0.210061000783644
"146",-0.194135383846878
"147",-0.17437271155048
"148",-0.158539261423076
"149",-0.140323425150398
"150",-0.12477869070838
"151",-0.107552467025474
"152",-0.0948173739938934
"153",-0.0813721723136044
"154",-0.066693447772482
"155",-0.050454287085793
"156",-0.0286384684048717
"157",-0.0136516460023776
"158",-0.00275161504971264
"159",0.0175659624831114
"160",0.0332026903168668
"161",0.0501697929693846
"162",0.065185841116163
"163",0.0802056478298263
"164",0.0941927407143637
"165",0.105884031161315
"166",0.118265283848001
"167",0.127661898302457
"168",0.137478552460852
"169",0.140548128437512
"170",0.159109851529483
"171",0.178661797894144
"172",0.200180015171186
"173",0.224071700703534
"174",0.236512247304685
"175",0.255153812480965
"176",0.267200181096172
"177",0.278278580538974
"178",0.292023285295904
"179",0.301360489690712
"180",0.319307196079266
"181",0.337111121229778
"182",0.354644033897934
"183",0.370125181524922
"184",0.387232776374196
"185",0.408646526785791
"186",0.434827085613321
"187",0.454948568190552
"188",0.480064862769837
"189",0.50364542981814
"190",0.523167639772181
"191",0.542454501485215
"192",0.5668049452173
"193",0.590790101693033
"194",0.613992721668894
"195",0.628526283766851
"196",0.644760697616392
"197",0.660591713898617
"198",0.677034548192638
"199",0.698632538412991
"200",0.722723128936358
"201",0.750103053893715
"202",0.774271054180171
"203",0.79347708560305
"204",0.811888445520631
"205",0.834006671602256
"206",0.864513562202674
"207",0.894393557461945
"208",0.921486582436438
"209",0.950511124306815
"210",0.972546392443073
